Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00599776174308269,0.00982304377481134,-0.00307718108199094,0,0,0,0.00786789396969289,1.18148777556037E-06,-5.17570735213473E-07,-1.84149644255169E-08,1.07373972694154E-06,-4.87070783916354E-08,2.19343511012124E-06,0,0,0,0,0,0,package://manuexo/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/base_link.STL,,hand_exo_base-1;asm_middle-1/finger_rootbase-1;asm_index-1/finger_rootbase-1;asm_thumb-2/finger_rootbase-1;asm_middle-1/countersunk flat head cross recess screw_iso-4;asm_middle-1/countersunk flat head cross recess screw_iso-3;asm_thumb-2/countersunk flat head cross recess screw_iso-4;asm_thumb-2/countersunk flat head cross recess screw_iso-1;asm_thumb-2/rdc5060-4;asm_middle-1/rdc5060-3;asm_index-1/rdc5060-3;asm_index-1/countersunk flat head cross recess screw_iso-4;asm_index-1/countersunk flat head cross recess screw_iso-3,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_11,-0.0194378840790386,0.0202894450824176,0.00173395527056601,0,0,0,0.00223467202473525,2.29258188789575E-07,2.14099610612929E-07,-4.92537126120248E-11,2.84513103815603E-07,-1.50010632702504E-10,4.77511912399258E-07,0,0,0,0,0,0,package://manuexo/meshes/link_11.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_11.STL,,asm_thumb-2/thumb_ball_link-1;asm_thumb-2/finger_rootbase-2;asm_thumb-2/countersunk flat head cross recess screw_iso-3;asm_thumb-2/countersunk flat head cross recess screw_iso-2;asm_thumb-2/rdc5060-3,c11,j11,j11,revolute,-0.01708,-0.021606,-0.005,2.3562,1.5708,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_12,0.0239347115479488,0.0153927042255716,0.00503368058218513,0,0,0,0.00172486845359109,2.96568934534256E-07,-1.95167710457615E-07,-5.36509543954245E-08,3.59909020664556E-07,-3.09062123925734E-08,6.0692450558821E-07,0,0,0,0,0,0,package://manuexo/meshes/link_12.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_12.STL,,asm_thumb-2/thumb_phalanx_root-1;asm_thumb-2/rdc5060-2,c12,j12,j12,revolute,-0.034337,0.0312,0.0017,-1.5708,-1.5708,3.1416,link_11,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_13,-0.00275598091844045,0.0171013082982554,0.0114897991653802,0,0,0,0.0021577823256147,4.36819893192054E-07,7.96040455945356E-08,-1.70706905974473E-09,2.87788243442553E-07,1.13766383807353E-09,3.00034675003969E-07,0,0,0,0,0,0,package://manuexo/meshes/link_13.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_13.STL,,asm_thumb-2/thumb_phalanx_approx-1;asm_thumb-2/rdc5060-1,c13,j13,j13,revolute,0.04,0.0332,0.0087,1.5708,1.5708,0,link_12,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_14,-0.00562177803999205,0.0182335719063677,0.0129931481612673,0,0,0,0.00418925270581729,6.39077403968338E-07,1.2065808877892E-07,1.62186935001399E-10,4.22708984113048E-07,-6.88615297065388E-10,5.31347222537241E-07,0,0,0,0,0,0,package://manuexo/meshes/link_14.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_14.STL,,asm_thumb-2/thumb_pad_cly-1,c14,j14,j14,revolute,-0.0095575,0.0312,0,0,0,0,link_13,0,0,1,0,0,-1.57,1.57,,,,,,,,
link_21,-0.00292555609180222,0.00333049704025469,0.00300313692306352,0,0,0,0.00111180928334376,3.30194238642245E-08,-8.35318642205584E-10,5.55623141654556E-10,9.10482440625475E-08,-4.083996436177E-09,1.0273967619007E-07,0,0,0,0,0,0,package://manuexo/meshes/link_21.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_21.STL,,asm_index-1/finger_phalanx_root-1;asm_index-1/rdc5060-2,c21,j21,j21,revolute,-0.014,0.032,-0.0042,0,0,0,base_link,0,0,1,0,0,-1,1,,,,,,,,
link_22,-0.00167183483203976,0.0289801523532644,0.00988583419271647,0,0,0,0.0023443539039227,7.95922863072503E-07,1.16161787663554E-07,-1.14266665074889E-09,2.18170957112326E-07,6.25951158024536E-10,7.09675987536077E-07,0,0,0,0,0,0,package://manuexo/meshes/link_22.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_22.STL,,asm_index-1/index_phalanx_approx-1;asm_index-1/rdc5060-1,c22,j22,j22,revolute,-0.0112,0.008,0.0042,0,1.5708,0,link_21,0,0,1,0,0,-1,1.57,,,,,,,,
link_23,0.000268249471579724,0.0233707625573986,0.0109668757148701,0,0,0,0.00274469075954858,2.91717789421685E-07,1.76410784171905E-08,5.82645518496106E-09,1.93940345649574E-07,8.3699971964392E-09,2.25572137250595E-07,0,0,0,0,0,0,package://manuexo/meshes/link_23.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_23.STL,,asm_index-1/finger_phalanx_distal-1;asm_index-1/countersunk flat head cross recess screw_iso-1;asm_index-1/countersunk flat head cross recess screw_iso-2;asm_index-1/finger_pad-1;asm_index-1/fixed_pad-1;asm_index-1/fixed_pad-2,c23,j23,j23,revolute,-0.0080705,0.0492,0.0002,0,0,0,link_22,0,0,1,0,0,-1,1.57,,,,,,,,
link_31,-0.00292555609180223,0.00333049704025472,0.00300313692306353,0,0,0,0.00111180928334376,3.30194238642245E-08,-8.35318642205653E-10,5.55623141654568E-10,9.10482440625474E-08,-4.08399643617702E-09,1.02739676190069E-07,0,0,0,0,0,0,package://manuexo/meshes/link_31.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_31.STL,,asm_middle-1/finger_phalanx_root-1;asm_middle-1/rdc5060-2,c31,j31,j31,revolute,0.014,0.032,-0.0042,0,0,0,base_link,0,0,1,0,0,-1,1,,,,,,,,
link_32,-0.00141507332656362,0.0324623732696431,0.00990227629547053,0,0,0,0.00243138055410109,1.01380603156866E-06,1.31826058001882E-07,-1.69906134718064E-09,2.17796422212826E-07,2.55512699184075E-09,9.29922192862984E-07,0,0,0,0,0,0,package://manuexo/meshes/link_32.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_32.STL,,asm_middle-1/middle_phalanx_approx-1;asm_middle-1/rdc5060-1,c32,j32,j32,revolute,-0.0112,0.008,0.0042,0,1.5708,0,link_31,0,0,1,0,0,-1,1.57,,,,,,,,
link_33,0.000268246023296149,0.0263032062176622,0.0109668796631391,0,0,0,0.00274468950458302,2.91717654278615E-07,1.76410644964327E-08,5.82642098607415E-09,1.93940254876873E-07,8.3700003599881E-09,2.25572184978187E-07,0,0,0,0,0,0,package://manuexo/meshes/link_33.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_33.STL,,asm_middle-1/finger_phalanx_distal-1;asm_middle-1/finger_pad-1;asm_middle-1/countersunk flat head cross recess screw_iso-1;asm_middle-1/countersunk flat head cross recess screw_iso-2;asm_middle-1/fixed_pad-1;asm_middle-1/fixed_pad-2,c33,j33,j33,revolute,-0.0080581,0.0552,0.0002,0,0,0,link_32,0,0,1,0,0,-1,1.57,,,,,,,,
link_tag,-0.00347432172032466,-0.000953506890492763,-0.0114650613193691,0,0,0,0.00355582565339228,5.48518231487005E-07,-4.12704843061412E-09,2.13620018325141E-09,7.31585644009308E-07,3.05284730176406E-09,7.55988644344329E-07,0,0,0,0,0,0,package://manuexo/meshes/link_tag.STL,1,1,1,1,0,0,0,0,0,0,package://manuexo/meshes/link_tag.STL,,cube_cover-1;countersunk flat head cross recess screw_iso-2;countersunk flat head cross recess screw_iso-3,ctag,,jtag,fixed,-0.0135,-0.001,-0.0215,-1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
